"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2010-01-01 ","0","EST","Metropolitan Washington","DC","38.919","-77.013","OZONE","29","1","Good"
"2010-01-01 ","0","EST","Metropolitan Washington","DC","38.919","-77.013","PM2.5","54","2","Moderate"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2012-01-01 ","0","EST","Metropolitan Washington","DC","38.919","-77.013","OZONE","32","1","Good"
"2012-01-01 ","0","EST","Metropolitan Washington","DC","38.919","-77.013","PM2.5","44","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-01-01 ","0","EST","Metropolitan Washington","DC","38.919","-77.013","OZONE","29","1","Good"
"2014-01-01 ","0","EST","Metropolitan Washington","DC","38.919","-77.013","PM2.5","51","2","Moderate"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2016-01-01 ","0","EST","Metropolitan Washington","DC","38.919","-77.013","OZONE","32","1","Good"
"2016-01-01 ","0","EST","Metropolitan Washington","DC","38.919","-77.013","PM2.5","32","1","Good"
"2016-01-01 ","0","EST","Metropolitan Washington","DC","38.919","-77.013","PM10","7","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2010-01-01 ","0","PST","NW Coastal LA","CA","34.0505","-118.4566","OZONE","36","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2012-01-01 ","0","PST","NW Coastal LA","CA","34.0505","-118.4566","OZONE","33","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-01-01 ","0","PST","NW Coastal LA","CA","34.0505","-118.4566","OZONE","26","1","Good"
"2014-01-01 ","0","PST","NW Coastal LA","CA","34.0505","-118.4566","PM2.5","154","4","Unhealthy"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2016-01-01 ","0","PST","NW Coastal LA","CA","34.0505","-118.4566","OZONE","37","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2010-01-01 ","0","EST","Gainesville","FL","29.6519","-82.325","OZONE","26","1","Good"
"2010-01-01 ","0","EST","Gainesville","FL","29.6519","-82.325","PM2.5","26","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2012-01-01 ","0","EST","Gainesville","FL","29.6519","-82.325","OZONE","31","1","Good"
"2012-01-01 ","0","EST","Gainesville","FL","29.6519","-82.325","PM2.5","32","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-01-01 ","0","EST","Gainesville","FL","29.6519","-82.325","OZONE","25","1","Good"
"2014-01-01 ","0","EST","Gainesville","FL","29.6519","-82.325","PM2.5","32","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2016-01-01 ","0","EST","Gainesville","FL","29.6519","-82.325","OZONE","18","1","Good"
"2016-01-01 ","0","EST","Gainesville","FL","29.6519","-82.325","PM2.5","14","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2010-01-01 ","0","EST","New York City Region","NY","40.81","-73.89","OZONE","22","1","Good"
"2010-01-01 ","0","EST","New York City Region","NY","40.81","-73.89","PM2.5","67","2","Moderate"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2012-01-01 ","0","EST","New York City Region","NY","40.81","-73.89","OZONE","23","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-01-01 ","0","EST","New York City Region","NY","40.81","-73.89","OZONE","23","1","Good"
"2014-01-01 ","0","EST","New York City Region","NY","40.81","-73.89","PM2.5","57","2","Moderate"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2016-01-01 ","0","EST","New York City Region","NY","40.81","-73.89","OZONE","29","1","Good"
"2016-01-01 ","0","EST","New York City Region","NY","40.81","-73.89","PM2.5","50","1","Good"
"2016-01-01 ","0","EST","New York City Region","NY","40.81","-73.89","PM10","3","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2010-01-01 ","0","PST","Portland","OR","45.538","-122.656","OZONE","31","1","Good"
"2010-01-01 ","0","PST","Portland","OR","45.538","-122.656","PM2.5","21","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2012-01-01 ","0","PST","Portland","OR","45.538","-122.656","OZONE","23","1","Good"
"2012-01-01 ","0","PST","Portland","OR","45.538","-122.656","PM2.5","73","2","Moderate"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-01-01 ","0","PST","Portland","OR","45.538","-122.656","OZONE","3","1","Good"
"2014-01-01 ","0","PST","Portland","OR","45.538","-122.656","PM2.5","74","2","Moderate"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2016-01-01 ","0","PST","Portland","OR","45.538","-122.656","OZONE","26","1","Good"
"2016-01-01 ","0","PST","Portland","OR","45.538","-122.656","PM2.5","21","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2010-01-01 ","0","EST","West Palm Beach","FL","26.715","-80.062","PM2.5","25","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2012-01-01 ","0","EST","West Palm Beach","FL","26.715","-80.062","OZONE","38","1","Good"
"2012-01-01 ","0","EST","West Palm Beach","FL","26.715","-80.062","PM2.5","39","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-01-01 ","0","EST","West Palm Beach","FL","26.715","-80.062","OZONE","32","1","Good"

"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2016-01-01 ","0","EST","West Palm Beach","FL","26.715","-80.062","PM2.5","31","1","Good"

